chamber,session,roll call,member,vote
House,1,87,K000381,Yes
House,1,87,K000394,Yes
House,1,87,K000188,Yes
House,1,87,K000362,No
House,1,87,K000210,Yes
House,1,87,K000378,Not Voting
House,1,87,K000368,Yes
House,1,87,K000391,Yes
House,1,87,K000382,Yes
House,1,87,K000392,Yes
House,1,87,L000585,No
House,1,87,L000578,Yes
House,1,87,L000588,Yes
House,1,87,L000564,No
House,1,87,L000559,Yes
House,1,87,L000560,Yes
House,1,87,L000557,Yes
House,1,87,L000566,No
House,1,87,L000581,Yes
House,1,87,L000586,Yes
House,1,87,L000551,Yes
House,1,87,L000590,Yes
House,1,87,L000589,No
House,1,87,L000593,Yes
House,1,87,L000592,Yes
House,1,87,L000287,Yes
House,1,87,L000582,Yes
House,1,87,L000563,Yes
House,1,87,L000565,Yes
House,1,87,L000397,Yes
House,1,87,L000576,No
House,1,87,L000583,No
House,1,87,L000579,Yes
House,1,87,L000480,Yes
House,1,87,L000491,Yes
House,1,87,L000569,Yes
House,1,87,L000570,Yes
House,1,87,L000591,Yes
House,1,87,L000562,Yes
House,1,87,M001203,Yes
House,1,87,M000087,Yes
House,1,87,M001185,Yes
House,1,87,M001158,No
House,1,87,M001198,No
House,1,87,M001184,No
House,1,87,M001199,No
House,1,87,M001163,Yes
House,1,87,M001209,Yes
House,1,87,M001208,Yes
House,1,87,M001165,Yes
House,1,87,M001157,Yes
House,1,87,M001177,No
House,1,87,M001143,Yes
House,1,87,M001200,Yes
House,1,87,M000312,Yes
House,1,87,M001156,Yes
House,1,87,M001180,Yes
House,1,87,M001166,Yes
House,1,87,M001187,No
House,1,87,M001137,Yes
House,1,87,M001188,Yes
House,1,87,M001204,No
House,1,87,M001205,Yes
House,1,87,M001201,No
House,1,87,M001194,Yes
House,1,87,M001195,No
House,1,87,M001160,Yes
House,1,87,M001206,Yes
House,1,87,M001196,Yes
House,1,87,M001207,Yes
House,1,87,M001190,No
House,1,87,M001202,Yes
House,1,87,N000002,Yes
House,1,87,N000179,Yes
House,1,87,N000015,Yes
House,1,87,N000191,Yes
House,1,87,N000189,Yes
House,1,87,N000188,Yes
House,1,87,N000190,No
House,1,87,N000181,Yes
House,1,87,O000171,Yes
House,1,87,O000172,No
House,1,87,O000168,Yes
House,1,87,O000173,No
House,1,87,P000601,Yes
House,1,87,P000034,Yes
House,1,87,P000609,No
House,1,87,P000613,Yes
House,1,87,P000614,Yes
House,1,87,P000096,Yes
House,1,87,P000604,Yes
House,1,87,P000197,Yes
House,1,87,P000615,Yes
House,1,87,P000593,Yes
House,1,87,P000605,No
House,1,87,P000608,Yes
House,1,87,P000258,Yes
House,1,87,P000616,Yes
House,1,87,P000597,Yes
House,1,87,P000607,Yes
House,1,87,P000618,Yes
House,1,87,P000599,No
House,1,87,P000617,No
House,1,87,P000523,Yes
House,1,87,Q000023,Not Voting
House,1,87,R000606,Yes
House,1,87,R000601,No
House,1,87,R000585,Yes
House,1,87,R000610,No
House,1,87,R000602,Yes
House,1,87,R000597,No
House,1,87,R000588,Yes
House,1,87,R000611,Yes
House,1,87,R000591,Yes
House,1,87,M001159,Yes
House,1,87,R000582,Yes
House,1,87,R000575,No
House,1,87,R000395,Yes
House,1,87,R000607,No
House,1,87,R000613,Yes
House,1,87,R000612,No
House,1,87,R000616,Yes
House,1,87,R000603,No
House,1,87,R000614,No
House,1,87,R000486,Yes
House,1,87,R000599,Yes
House,1,87,R000576,Yes
House,1,87,R000515,Yes
House,1,87,R000609,Yes
House,1,87,R000577,Yes
House,1,87,S001156,Yes
House,1,87,S001168,Yes
House,1,87,S001176,Yes
House,1,87,S001205,Yes
House,1,87,S001145,Yes
House,1,87,S001150,Yes
House,1,87,S001190,Yes
House,1,87,S001180,Yes
House,1,87,S001216,Yes
House,1,87,S001183,No
House,1,87,S000185,Yes
House,1,87,S001189,No
House,1,87,S001157,Yes
House,1,87,S000244,No
House,1,87,S000248,Yes
House,1,87,S001185,Yes
House,1,87,S001206,Yes
House,1,87,S000344,Yes
House,1,87,S001207,Yes
House,1,87,S000364,Yes
House,1,87,S001148,Yes
House,1,87,S001165,Yes
House,1,87,S001208,Yes
House,1,87,S001195,No
House,1,87,S001172,No
House,1,87,S000522,Yes
House,1,87,S000510,Yes
House,1,87,S001199,No
House,1,87,S001200,Yes
House,1,87,S001209,Yes
House,1,87,S001210,No
House,1,87,S001175,Yes
House,1,87,S001211,Yes
House,1,87,S001212,Yes
House,1,87,S001196,Yes
House,1,87,S001213,Yes
House,1,87,S001214,No
House,1,87,S001215,Yes
House,1,87,S001192,Yes
House,1,87,S001187,Yes
House,1,87,S001201,Yes
House,1,87,S001193,Yes
House,1,87,T000472,Yes
House,1,87,T000479,No
House,1,87,T000460,Yes
House,1,87,T000193,Yes
House,1,87,T000467,Yes
House,1,87,T000238,Yes
House,1,87,T000480,No
House,1,87,T000470,No
House,1,87,T000468,Yes
House,1,87,T000481,No
House,1,87,T000469,Yes
House,1,87,T000474,Yes
House,1,87,T000484,Yes
House,1,87,T000482,Yes
House,1,87,T000483,Yes
House,1,87,T000463,Yes
House,1,87,U000040,Yes
House,1,87,U000031,Yes
House,1,87,V000133,Yes
House,1,87,V000130,No
House,1,87,V000131,Yes
House,1,87,V000132,No
House,1,87,V000081,No
House,1,87,V000108,Yes
House,1,87,W000812,Yes
House,1,87,W000798,No
House,1,87,W000791,Yes
House,1,87,W000819,No
House,1,87,W000813,Yes
House,1,87,W000823,Yes
House,1,87,W000797,Yes
House,1,87,W000187,Yes
House,1,87,W000824,No
House,1,87,W000822,Yes
House,1,87,W000814,No
House,1,87,W000806,No
House,1,87,W000800,Yes
House,1,87,W000815,Yes
House,1,87,W000821,No
House,1,87,W000825,Yes
House,1,87,W000826,Yes
House,1,87,W000816,No
House,1,87,W000808,Yes
House,1,87,W000795,No
House,1,87,W000804,Yes
House,1,87,W000809,Yes
House,1,87,W000810,Yes
House,1,87,W000827,No
House,1,87,Y000062,Yes
House,1,87,Y000065,No
House,1,87,Y000033,Yes
House,1,87,Z000017,No
House,1,86,A000374,No
House,1,86,A000370,Yes
House,1,86,A000055,No
House,1,86,A000371,Yes
House,1,86,A000372,No
House,1,86,A000376,Not Voting
House,1,86,A000367,No
House,1,86,A000369,No
House,1,86,A000377,No
House,1,86,A000375,No
House,1,86,A000378,Yes
House,1,86,B001291,No
House,1,86,B001298,No
House,1,86,B001307,No
House,1,86,B001306,No
House,1,86,B001299,No
House,1,86,B001282,No
House,1,86,B001300,Yes
House,1,86,B001270,Yes
House,1,86,B001281,Yes
House,1,86,B001287,Yes
House,1,86,B001301,No
House,1,86,B001292,Yes
House,1,86,B001302,No
House,1,86,B001257,No
House,1,86,B000490,Yes
House,1,86,B001250,No
House,1,86,B000574,Yes
House,1,86,B001303,Yes
House,1,86,B001278,Yes
House,1,86,B001295,No
House,1,86,B001296,Yes
House,1,86,B000755,No
House,1,86,B001308,Yes
House,1,86,B001274,No
House,1,86,B001284,No
House,1,86,B001304,Yes
House,1,86,B001285,Yes
House,1,86,B001260,No
House,1,86,B001297,No
House,1,86,B001275,No
House,1,86,B001305,No
House,1,86,B001309,No
House,1,86,B001248,No
House,1,86,B001286,Yes
House,1,86,B001251,Yes
House,1,86,B001289,No
House,1,86,C000059,No
House,1,86,C001112,Yes
House,1,86,C001097,Yes
House,1,86,C001072,Yes
House,1,86,C001103,No
House,1,86,C001051,No
House,1,86,C001090,Yes
House,1,86,C001055,Yes
House,1,86,C001117,Yes
House,1,86,C001066,Yes
House,1,86,C001091,Yes
House,1,86,C000266,No
House,1,86,C001109,No
House,1,86,C001080,Yes
House,1,86,C001084,Yes
House,1,86,C001123,Yes
House,1,86,C001101,Yes
House,1,86,C001067,Yes
House,1,86,C001049,Yes
House,1,86,C001061,Yes
House,1,86,C001118,No
House,1,86,C001115,No
House,1,86,C000537,Yes
House,1,86,C001068,Yes
House,1,86,C001053,No
House,1,86,C001093,No
House,1,86,C001092,No
House,1,86,C001108,No
House,1,86,C001062,No
House,1,86,C001078,Yes
House,1,86,C001094,No
