GAME_ID,TEAM_NAME,FG_PCT,WON,TEAM_NAME_OPP,FG_PCT_OPP,FG_PCT_DIFF
21700070,Charlotte Hornets,0.375,0,Houston Rockets,0.447,-0.07200000000000001
21700071,San Antonio Spurs,0.337,0,Orlando Magic,0.5710000000000001,-0.23400000000000004
21700072,Denver Nuggets,0.462,1,Atlanta Hawks,0.41600000000000004,0.045999999999999985
21700073,Brooklyn Nets,0.4,0,New York Knicks,0.449,-0.04899999999999999
21700074,Minnesota Timberwolves,0.488,1,Oklahoma City Thunder,0.5,-0.01200000000000001
21700075,Golden State Warriors,0.484,1,Washington Wizards,0.44299999999999995,0.041000000000000036
21700076,Toronto Raptors,0.43,1,Los Angeles Lakers,0.456,-0.026000000000000023
21700077,New Orleans Pelicans,0.516,1,Cleveland Cavaliers,0.462,0.05399999999999999
21700078,Boston Celtics,0.42,1,Miami Heat,0.43,-0.010000000000000009
21700079,Chicago Bulls,0.282,0,Oklahoma City Thunder,0.44299999999999995,-0.16099999999999998
21700080,Houston Rockets,0.377,0,Memphis Grizzlies,0.47100000000000003,-0.09400000000000003
21700081,Philadelphia 76ers,0.494,1,Dallas Mavericks,0.514,-0.020000000000000018
21700082,Utah Jazz,0.46799999999999997,1,Los Angeles Lakers,0.38299999999999995,0.08500000000000002
21700083,Portland Trail Blazers,0.44,1,Phoenix Suns,0.425,0.015000000000000013
21700084,Detroit Pistons,0.409,1,LA Clippers,0.33299999999999996,0.07600000000000001
21700085,Atlanta Hawks,0.46799999999999997,0,Milwaukee Bucks,0.5429999999999999,-0.07499999999999996
21700086,Indiana Pacers,0.46799999999999997,1,San Antonio Spurs,0.4,0.06799999999999995
21700087,Brooklyn Nets,0.406,0,Denver Nuggets,0.5,-0.09399999999999997
21700088,Charlotte Hornets,0.546,1,Orlando Magic,0.423,0.12300000000000005
21700089,Washington Wizards,0.47100000000000003,1,Sacramento Kings,0.39,0.08100000000000002
21700090,New York Knicks,0.47200000000000003,1,Cleveland Cavaliers,0.38299999999999995,0.08900000000000008
21700091,Detroit Pistons,0.462,1,Golden State Warriors,0.5710000000000001,-0.10900000000000004
21700092,San Antonio Spurs,0.414,0,Boston Celtics,0.47700000000000004,-0.06300000000000006
21700093,Miami Heat,0.527,0,Minnesota Timberwolves,0.451,0.07600000000000001
21700094,Denver Nuggets,0.41200000000000003,0,New York Knicks,0.5,-0.08799999999999997
21700095,Philadelphia 76ers,0.55,1,Houston Rockets,0.39799999999999996,0.15200000000000008
21700096,Charlotte Hornets,0.41600000000000004,1,Memphis Grizzlies,0.344,0.07200000000000006
21700097,New Orleans Pelicans,0.45899999999999996,0,Orlando Magic,0.506,-0.04700000000000004
21700098,Dallas Mavericks,0.447,0,Utah Jazz,0.469,-0.021999999999999964
21700099,Toronto Raptors,0.44799999999999995,1,Portland Trail Blazers,0.38799999999999996,0.06
21700100,LA Clippers,0.45299999999999996,0,Golden State Warriors,0.584,-0.131
21700101,Sacramento Kings,0.42,0,Indiana Pacers,0.424,-0.0040000000000000036
21700102,Phoenix Suns,0.469,1,Brooklyn Nets,0.41200000000000003,0.05699999999999994
21700103,Oklahoma City Thunder,0.494,1,Milwaukee Bucks,0.41600000000000004,0.07799999999999996
21700104,Los Angeles Lakers,0.495,1,Detroit Pistons,0.436,0.059
21700105,Milwaukee Bucks,0.495,0,Charlotte Hornets,0.536,-0.041000000000000036
21700106,Indiana Pacers,0.544,1,Cleveland Cavaliers,0.5,0.04400000000000004
21700107,Atlanta Hawks,0.436,0,Philadelphia 76ers,0.465,-0.029000000000000026
21700108,Phoenix Suns,0.494,1,Washington Wizards,0.446,0.04799999999999999
21700109,Sacramento Kings,0.43200000000000005,0,Boston Celtics,0.488,-0.05599999999999994
21700110,Miami Heat,0.41,1,Chicago Bulls,0.40399999999999997,0.006000000000000005
21700111,New York Knicks,0.433,0,Houston Rockets,0.47700000000000004,-0.04400000000000004
21700112,Orlando Magic,0.507,1,Memphis Grizzlies,0.47600000000000003,0.030999999999999972
21700113,Minnesota Timberwolves,0.494,1,New Orleans Pelicans,0.429,0.065
21700114,Toronto Raptors,0.494,0,Denver Nuggets,0.534,-0.040000000000000036
21700115,Portland Trail Blazers,0.39799999999999996,0,Utah Jazz,0.37799999999999995,0.020000000000000018
21700116,Dallas Mavericks,0.39299999999999996,0,LA Clippers,0.526,-0.13300000000000006
21700117,San Antonio Spurs,0.391,0,Golden State Warriors,0.518,-0.127
21700118,Portland Trail Blazers,0.465,1,Los Angeles Lakers,0.544,-0.07900000000000001
21700119,Detroit Pistons,0.474,1,Milwaukee Bucks,0.47,0.0040000000000000036
21700120,Orlando Magic,0.40700000000000003,0,Chicago Bulls,0.47100000000000003,-0.064
21700121,Philadelphia 76ers,0.5,1,Indiana Pacers,0.46399999999999997,0.03600000000000003
21700122,Washington Wizards,0.536,0,Cleveland Cavaliers,0.561,-0.025000000000000022
21700123,Houston Rockets,0.47200000000000003,1,Atlanta Hawks,0.48100000000000004,-0.009000000000000008
21700124,Phoenix Suns,0.35100000000000003,0,New York Knicks,0.517,-0.16599999999999998
21700125,Dallas Mavericks,0.386,0,New Orleans Pelicans,0.40399999999999997,-0.01799999999999996
21700126,Charlotte Hornets,0.413,0,San Antonio Spurs,0.47,-0.056999999999999995
21700127,Denver Nuggets,0.45,1,Miami Heat,0.46799999999999997,-0.01799999999999996
21700128,Utah Jazz,0.43799999999999994,0,Toronto Raptors,0.535,-0.09700000000000009
21700129,Oklahoma City Thunder,0.402,0,Boston Celtics,0.429,-0.02699999999999997
21700130,Brooklyn Nets,0.40700000000000003,0,Los Angeles Lakers,0.511,-0.10399999999999998
21700131,LA Clippers,0.45799999999999996,0,Memphis Grizzlies,0.47600000000000003,-0.01800000000000007
21700132,Detroit Pistons,0.506,1,Sacramento Kings,0.526,-0.020000000000000018
21700133,New Orleans Pelicans,0.402,1,Chicago Bulls,0.354,0.04800000000000004
21700134,Minnesota Timberwolves,0.544,1,Dallas Mavericks,0.46,0.08400000000000002
21700135,Denver Nuggets,0.46,0,Golden State Warriors,0.5489999999999999,-0.08899999999999991
21700136,Cleveland Cavaliers,0.43799999999999994,0,Atlanta Hawks,0.47700000000000004,-0.03900000000000009
21700137,LA Clippers,0.391,0,Miami Heat,0.44,-0.04899999999999999
21700138,Orlando Magic,0.363,0,Boston Celtics,0.43799999999999994,-0.07499999999999996
21700139,Washington Wizards,0.47100000000000003,1,Toronto Raptors,0.46299999999999997,0.008000000000000063
21700140,Utah Jazz,0.43200000000000005,0,Houston Rockets,0.593,-0.16099999999999992
21700141,Phoenix Suns,0.457,0,San Antonio Spurs,0.5,-0.04299999999999998
21700142,Indiana Pacers,0.46799999999999997,0,New York Knicks,0.5,-0.03200000000000003
21700143,Minnesota Timberwolves,0.45799999999999996,1,Charlotte Hornets,0.41600000000000004,0.041999999999999926
21700144,Portland Trail Blazers,0.5,1,Oklahoma City Thunder,0.449,0.05099999999999999
21700145,Memphis Grizzlies,0.46,0,Los Angeles Lakers,0.47100000000000003,-0.01100000000000001
21700146,Atlanta Hawks,0.48100000000000004,0,Boston Celtics,0.48100000000000004,0.0
21700147,Phoenix Suns,0.349,0,Brooklyn Nets,0.402,-0.05300000000000005
21700148,Golden State Warriors,0.368,1,Miami Heat,0.361,0.007000000000000006
21700149,Cleveland Cavaliers,0.5,1,Milwaukee Bucks,0.5660000000000001,-0.06600000000000006
21700150,New Orleans Pelicans,0.506,1,Indiana Pacers,0.473,0.03300000000000003
21700151,Dallas Mavericks,0.473,1,Washington Wizards,0.42700000000000005,0.04599999999999993
21700152,New York Knicks,0.6,1,Charlotte Hornets,0.462,0.13799999999999996
21700153,Toronto Raptors,0.5429999999999999,1,Chicago Bulls,0.5,0.04299999999999993
21700154,LA Clippers,0.512,0,San Antonio Spurs,0.536,-0.02400000000000002
