sampleID,sugar,fat,color,milky,buttery,vanilla,eggy,almond,sweetness,cool,meltRate1,fatty,creamy,fluffy,doughy,crystals,mouthcoat,hardness,tackiness,meltRate2,DOLtexture,DOLflavor,DOLoverall
1,1,1,10,6.3,4,4.1,5.7,3.7,4.1,12.7,9.7,3.6,3.7,5.3,3.1,10.5,3.9,10358,1350,2.57,4.6,3.9,3.9
2,1,2,8.1,9.3,5.1,7.2,6,4.9,6.9,12.6,9.2,6.1,8,7.1,5.6,7.5,5.7,5491,1079,2.14,5.8,5.4,5.4
3,1,3,7,9.3,7.3,7.9,8.3,5.7,8.3,9.6,6.7,9.6,9.2,6.4,7.5,4.7,7.6,6646,1573,0.93,5.9,5.8,5.8
4,2,1,6.4,8.8,5.9,8.1,8.8,6,8,10.3,8.1,7.5,8.6,7.8,5.9,6.3,6.9,2438,1081,2.89,6.3,6,6
5,2,2,8,9,7.5,8.3,7.3,6.7,9.1,10.1,7,10.7,10,8.2,9,5,8.9,3031,1195,2.63,6.6,6.5,6.5
6,2,3,7,8.5,8.1,8.5,9,6.3,9.8,9.8,6.4,10.4,9.6,5.4,9.8,4.1,9.2,4228,1526,2.39,5.9,6.1,6.1
7,3,1,7,8.8,8.3,10.1,8.3,7.4,11,8.8,8.7,9.3,10.1,9,9.7,4.7,7.7,1312,766,2.7,5.7,6.3,5.9
8,3,2,8.3,8.3,8.4,9,9.1,7.5,11.7,6.7,7.3,10.7,11.6,8.1,11.7,3.4,10,1339,925,3.12,5,5.9,5.5
9,3,3,6.9,8.4,9,10,9.2,8.1,11.9,6.3,6.7,11.6,11.5,7.2,10.8,3.1,11,1875,1010,3.55,5.1,5.7,5.4
